brand_id,cpg_id,barcode,category,categoryCode,name,topBrand,brandCode
5bd2013f965c7d66d92731ec,550b2565e4b001d5e9e4146f,511111904663,Household,,Kleenex,False,KLEENEX
5f7760f0be37ce1d26d7b7a6,5f7760f0be37ce1d26d7b7a2,511111016854,Baking,BAKING,test brand @1601659120870,True,TEST BRANDCODE @1601659120870
5f7ba914be37ce2f290fb250,5f7ba914be37ce2f290fb24f,511111416944,Baking,BAKING,test brand @1601939732269,True,
5a4d1ec9e4b0bcb2c74ea77d,5332f5fbe4b03c9a25efd0ba,511111900542,Snacks,,EL ISLENO,True,EL ISLENO
5fb822e4be37ce522e165ce0,5fb6b608be37ce522e165cb9,511111717751,Grocery,GROCERY,Maiser's,False,MAISER'S 
5f7ba932be37ce2f290fb255,5f7ba932be37ce2f290fb251,511111816980,Baking,BAKING,test brand @1601939762976,True,TEST BRANDCODE @1601939762976
5bd201f090fa074576779a1a,550b2565e4b001d5e9e4146f,511111204718,Household,,Viva,False,VIVA
5bd20188965c7d66d92731ed,550b2565e4b001d5e9e4146f,511111604686,Personal Care,,Poise,False,POISE
5fd2a0bfbe37ce49eb72c0f3,5fd2a0bfbe37ce49eb72c0ef,511111918158,Baking,BAKING,test brand @1607639231747,False,TEST BRANDCODE @1607639231747
5332f7a9e4b03c9a25efd138,5332f7a7e4b03c9a25efd134,511111503538,,,Natural,True,
57d96112e4b0ac389136a2b8,559c2234e4b06aca36af13c6,511111102335,Frozen,,Ore-Ida,False,ORE-IDA
5d66d81a6d5f3b6188d4f048,5d5d4fd16d5f3b23d1bc7905,511111605331,Magazines,,History Channel Special Edition Magazine ,True,511111605331
5a5d1c77e4b06ba572cf249a,559c2234e4b06aca36af13c6,511111300373,Grocery,,BIAGLUT,False,BIAGLUT
5cdacd63166eb33eb7ce0fa8,559c2234e4b06aca36af13c6,511111004790,Condiments & Sauces,,Bitten Dressing,True,BITTEN
57ebc2dfe4b0ac389136a34a,559c2234e4b06aca36af13c6,511111401926,Beverages,,Tang,False,TANG
5332fa58e4b03c9a25efd214,5332fa58e4b03c9a25efd215,511111603085,,,Edy's,True,
5c7d9cb395144c337a3cbfbb,5459429be4b0bfcb1e864082,511111707202,Baby,BABY,Huggies,True,HUGGIES
5a8c34d7e4b07f0a2dac8944,5a734034e4b0d58f376be874,511111204152,Baby,,Plum Organics,False,PLUM ORGANICS
5fb805dbbe37ce522e165ccc,5fb6d381be37ce522e165cbd,511111917557,Beer Wine Spirits,BEER_WINE_SPIRITS,The Glenlivet® Caribbean Reserve,False,THE GLENLIVET CARIBBEAN RESERVE
5fb806b5be37ce522e165ccd,5fb6d381be37ce522e165cbd,511111117568,Beer Wine Spirits,BEER_WINE_SPIRITS,The Glenlivet® Founder's Reserve,False,THE GLENLIVET® FOUNDER'S RESERVE
5fb807bebe37ce522e165cce,5fb6d381be37ce522e165cbd,511111617570,Beer Wine Spirits,BEER_WINE_SPIRITS,The Glenlivet® 12 Year ,False,THE GLENLIVET® 12 YEAR 
5bd200fc965c7d66d92731eb,550b2565e4b001d5e9e4146f,511111204640,Baby,,Goodnites,False,GOODNITES
